model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa,matthew_coef
Dummy,DUM-1-1,0.0,0.0,0.0,0.0,0.0,0.0,0.2894736842105263,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dummy,DUM-1-2,0.0,0.0,0.0,0.0,0.0,0.0,0.2894736842105263,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dummy,DUM-1-3,0.0,0.0,0.0,0.0,0.0,0.0,0.2972972972972973,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dummy,DUM-1-4,0.0,0.0,0.0,0.0,0.0,0.0,0.2972972972972973,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dummy,DUM-1-5,0.0,0.0,0.0,0.0,0.0,0.0,0.2972972972972973,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dummy,DUM-1-6,0.0,0.0,0.0,0.0,0.0,0.0,0.2972972972972973,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dummy,DUM-1-7,0.0,0.0,0.0,0.0,0.0,0.0,0.2702702702702703,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dummy,DUM-1-8,0.0,0.0,0.0,0.0,0.0,0.0,0.2702702702702703,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dummy,DUM-1-9,0.0,0.0,0.0,0.0,0.0,0.0,0.2702702702702703,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dummy,DUM-1-10,0.0,0.0,0.0,0.0,0.0,0.0,0.2702702702702703,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
